review_type,source_author,openalex_author_id,compared_openalex_author_id,author,compared_author,exact_match_papers,initial_match_papers,compared_exact_match_papers,compared_initial_match_papers,shared_coauthors,shared_coauthor_ids,shared_institutions,shared_affiliations,shared_countries,publication_year_gap,orcid_relation,decision,confidence,rationale
Profile pair,Joachim Boldt,A5027036101,A5029268538,Joachim Boldt,J Boldt,212,0,0,4,13,10,1,0,DE,0,Unavailable,Automatic merge,High,Same RWD name with 13 shared coauthors and 1 shared affiliation signals.
Profile pair,Jun Iwamoto,A5074419878,A5109948506,Jun Iwamoto,Jun Iwamoto,79,0,3,0,6,6,1,2,JP,0,Unavailable,Automatic merge,High,Same RWD name with 6 shared coauthors and 3 shared affiliation signals.
Profile pair,Li Wang,A5107889976,A5116736541,Li Wang,Li Wang,4,0,3,0,5,4,1,1,CN,0,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Li Wang,A5107889976,A5118941484,Li Wang,Li Wang,4,0,1,0,0,0,0,0,,0,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Li Wang,A5116736541,A5118941484,Li Wang,Li Wang,3,0,1,0,0,0,0,0,,10,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,M Ghoranneviss,A5030715283,A5086048534,M. Ghoranneviss,M. Ghoranneviss,72,0,8,0,11,8,2,3,IR,0,Unavailable,Automatic merge,High,Same RWD name with 11 shared coauthors and 5 shared affiliation signals.
Profile pair,Rui Wang,A5052540638,A5115596056,Rui Wang,Rui Wang,1,0,1,0,0,0,0,0,CN,5,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Stefan W Suttner,A5111562782,A5111934554,Stefan Suttner,S. Suttner,14,3,0,27,13,11,1,1,DE,0,Unavailable,Automatic merge,High,Same RWD name with 13 shared coauthors and 2 shared affiliation signals.
Profile pair,Swen N Piper,A5113507673,A5113639147,S N Piper,S. N. Piper,0,1,0,26,7,5,1,0,DE,0,Unavailable,Automatic merge,High,Same RWD name with 7 shared coauthors and 1 shared affiliation signals.
Profile pair,Swen N Piper,A5113507673,A5113643499,S N Piper,Swen N. Piper,0,1,20,0,2,2,1,0,DE,0,Unavailable,Automatic merge,High,Same RWD name with 2 shared coauthors and 1 shared affiliation signals.
Profile pair,Swen N Piper,A5113639147,A5113643499,S. N. Piper,Swen N. Piper,0,26,20,0,13,12,1,1,DE,0,Unavailable,Automatic merge,High,Same RWD name with 13 shared coauthors and 2 shared affiliation signals.
Profile pair,Tao Liu,A5015240075,A5029326219,T. Liu,T. Liu,0,1,0,21,1,1,1,1,CN,0,Unavailable,Automatic merge,High,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor."
Profile pair,Tao Liu,A5024606648,A5029326219,T. Liu,T. Liu,0,1,0,21,3,1,1,1,CN,0,Unavailable,Automatic merge,High,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor."
Profile pair,Tao Liu,A5029326219,A5033131662,T. Liu,T. Liu,0,21,0,1,1,1,1,1,CN,0,Unavailable,Automatic merge,High,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor."
Profile pair,Tao Liu,A5029326219,A5049434233,T. Liu,T. Liu,0,21,0,1,1,1,1,1,CN,0,Unavailable,Automatic merge,High,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor."
Profile pair,Tao Liu,A5029326219,A5067873822,T. Liu,T. Liu,0,21,0,1,1,1,1,1,CN,0,Unavailable,Automatic merge,High,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor."
Profile pair,Tao Liu,A5029326219,A5084707917,T. Liu,T. Liu,0,21,0,1,1,1,1,1,CN,0,Unavailable,Automatic merge,High,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor."
Profile pair,Tao Liu,A5064220200,A5100338060,Tao Liu,Tao Liu,1,0,3,0,0,0,0,0,CN,4,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Tao Liu,A5064220200,A5100338061,Tao Liu,Tao Liu,1,0,1,0,0,0,0,0,CN,4,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Tao Liu,A5064220200,A5100338073,Tao Liu,Tao Liu,1,0,1,0,0,0,0,0,CN,6,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Tao Liu,A5064220200,A5100338122,Tao Liu,Tao Liu,1,0,1,0,0,0,0,0,CN,6,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Tao Liu,A5100338060,A5100338061,Tao Liu,Tao Liu,3,0,1,0,0,0,0,0,CN,8,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Tao Liu,A5100338060,A5100338073,Tao Liu,Tao Liu,3,0,1,0,3,3,1,1,CN,0,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Tao Liu,A5100338060,A5100338122,Tao Liu,Tao Liu,3,0,1,0,3,3,1,0,CN,0,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Tao Liu,A5100338061,A5100338073,Tao Liu,Tao Liu,1,0,1,0,0,0,0,0,CN,10,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Tao Liu,A5100338061,A5100338122,Tao Liu,Tao Liu,1,0,1,0,0,0,0,0,CN,10,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Tao Liu,A5100338073,A5100338122,Tao Liu,Tao Liu,1,0,1,0,4,4,1,0,CN,0,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Yan Li,A5060470053,A5100708580,Yan Li,Yan Li,1,0,2,0,0,0,0,0,CN,0,Same,Automatic merge,High,The OpenAlex profiles share the same ORCID.
Profile pair,Yoshitaka Fujii,A5016959602,A5031327561,YOSHITAKA FUJII,Yoshitaka Fujii,1,0,146,0,3,1,2,2,JP,0,Unavailable,Automatic merge,High,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor."
Profile pair,Yuhji Saitoh,A5109542843,A5109569139,Yuhji Saitoh,Y. Saitoh,30,0,0,23,10,10,6,5,JP,0,Unavailable,Automatic merge,High,Same RWD name with 10 shared coauthors and 11 shared affiliation signals.
Abbreviated-name validation,Bo Li,A5071656541,,B Li,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Dimitris Liakopoulos,A5016204133,,D. Liakopoulos,,0,6,,,0,,0,0,,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Dimitris Liakopoulos,A5098187694,,D. Liakopoulos,,0,1,,,0,,0,0,,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Dimitris Liakopoulos,A5098487117,,D. Liakopoulos,,0,1,,,0,,0,0,,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Dong Mei Wu,A5046007026,,D. Wu,,0,1,,,0,,0,0,CN,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Profile pair,Gunter G Hempelmann,A5064325314,A5108417396,G. Hempelmann,G. Hempelmann,0,1,0,11,1,1,1,0,DE,0,Unavailable,Probable merge,Review,"The profiles share an affiliation and a coauthor, but that is not enough to merge them automatically."
Abbreviated-name validation,Hao Chen,A5101802140,,Hongquan Chen,,0,1,,,0,,0,0,CN,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Profile pair,Hiroyoshi Tanaka,A5039489169,A5110380913,HIROYOSHI TANAKA,H Tanaka,1,0,0,3,2,0,1,1,JP,0,Unavailable,Probable merge,Review,"The profiles share an affiliation and a coauthor, but that is not enough to merge them automatically."
Abbreviated-name validation,Jian Li,A5066040834,,J. Li,,0,3,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Jie Zhang,A5086496427,,J. Zhang,,0,1,,,0,,0,0,,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Jing Yang,A5054515260,,Jianbo Yang,,0,1,,,0,,0,0,SG,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Joachim Boldt,A5105797276,,尚美 木本,,0,1,,,0,,0,0,DE,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Joachim Boldt,A5132799693,,J Boldt,,0,2,,,0,,0,0,DE,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Jun Li,A5109971899,,J Li,,0,1,,,0,,0,0,CN,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Lei Wang,A5018805981,,L Wang,,0,1,,,0,,0,0,CN,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Lin Zhang,A5061786493,,L. Zhang,,0,1,,,0,,0,0,,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Min Li,A5002090770,,M.H. Li,,0,1,,,0,,0,0,CN,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Qiang Li,A5019989501,,Q Li,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Rui Wang,A5081105455,,R Wang,,0,1,,,0,,0,0,,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Profile pair,Tao Liu,A5002814280,A5029326219,Tao Liu,T. Liu,2,0,0,21,0,0,0,0,CN,7,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5006059676,A5029326219,Tao Liu,T. Liu,1,0,0,21,0,0,0,0,CN,13,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Abbreviated-name validation,Tao Liu,A5015240075,,T. Liu,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Tao Liu,A5024606648,,T. Liu,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Tao Liu,A5026080192,,Ting-Kai Liu,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Tao Liu,A5029326219,,T. Liu,,0,21,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Profile pair,Tao Liu,A5029326219,A5032071700,T. Liu,Tao Liu,0,21,2,0,0,0,0,0,CN,12,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5033255645,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,15,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5036057418,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,4,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5048242778,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,,15,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5056950107,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,15,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5064220200,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,7,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5065338890,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,16,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5068655276,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,15,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5069706166,T. Liu,T Liu,0,21,0,1,0,0,0,0,,11,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5078437006,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,18,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100338060,T. Liu,Tao Liu,0,21,3,0,0,0,0,0,CN,11,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100338061,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,3,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100338067,T. Liu,Tao Liu,0,21,7,0,0,0,0,0,CN,4,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100338073,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,13,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100338083,T. Liu,Tao Liu,0,21,2,0,0,0,0,0,CN,6,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100338087,T. Liu,Tao Liu,0,21,3,0,0,0,0,0,CN,5,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100338122,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,13,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100338131,T. Liu,Tao Liu,0,21,2,0,0,0,0,0,CN,4,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100601871,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,7,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100661844,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,10,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100667354,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,14,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100667768,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,15,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100679836,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,11,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100749250,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,11,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5100749251,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,12,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5101706896,T. Liu,Tao Liu,0,21,2,0,0,0,0,0,CN,3,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5101757005,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,14,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5101970527,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,12,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Profile pair,Tao Liu,A5029326219,A5115603709,T. Liu,Tao Liu,0,21,1,0,0,0,0,0,CN,15,Unavailable,Unresolved,Review,"The names are compatible, but there are not enough shared coauthors or institutions to link the profiles."
Abbreviated-name validation,Tao Liu,A5033131662,,T. Liu,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Tao Liu,A5049434233,,T. Liu,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Tao Liu,A5049774714,,Taizheng Liu,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Tao Liu,A5067873822,,T. Liu,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Tao Liu,A5069706166,,T Liu,,0,1,,,0,,0,0,,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Tao Liu,A5084707917,,T. Liu,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Tao Zhang,A5027310258,,T. Zhang,,0,1,,,0,,0,0,JP,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Tao Zhang,A5039888109,,T. Zhang,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Tao Zhang,A5067236127,,T. Zhang,,0,1,,,0,,0,0,JP,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Wei Li,A5100675611,,Weijian Li,,0,1,,,0,,0,0,CN,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Wei Zhao,A5033904866,,Wenting Zhao,,0,1,,,0,,0,0,CN,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Xin Zhang,A5100368885,,Xiang Zhang,,0,1,,,0,,0,0,CN,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Yan Wang,A5019138834,,Y Wang,,0,1,,,0,,0,0,CN,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Yan Wang,A5067124076,,Yuqiao Wang,,0,1,,,0,,0,0,CN; US,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Yang Wang,A5058488529,,Y Wang,,0,1,,,0,,0,0,,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Yang Yang,A5044641119,,Ying Yang,,0,1,,,0,,0,0,,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Yi Zhang,A5111597301,,Y. Zhang,,0,1,,,0,,0,0,,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Yoshihiro Sato,A5012506063,,Yasunori Sato,,0,1,,,0,,0,0,JP,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Yoshitaka Fujii,A5101638340,,Yusuke Fujii,,0,1,,,0,,0,0,JP,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Yoshitaka Fujii,A5108811062,,Y. Fujii,,0,1,,,0,,0,0,JP,,Unavailable,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Yu Wang,A5004063425,,Y. Wang,,0,1,,,0,,0,0,,,Present,Unresolved abbreviation,Review,No exact full-name paper or strong link to one was found.
Abbreviated-name validation,Adrian Maxim,A5075868044,,A. Maxim,,6,42,,,0,,2,5,GB; US,,Unavailable,Confirmed abbreviation,High,The same OpenAlex profile contains 6 papers that match the full RWD name exactly.
Profile pair,Ali Nazari,A5061714089,A5101715046,Ali Nazari,Ali Nazari,99,0,1,0,1,1,1,1,IR,0,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5029601647,Bin Liu,Pei Liu,1,0,1,0,0,0,0,0,CN,11,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5045000619,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,3,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5054380097,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,0,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5056300047,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,11,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5056629328,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,1,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5068567113,Bin Liu,Bin Liu,1,0,3,0,0,0,0,0,CN,0,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5072374470,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,0,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5075653084,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,12,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5081583686,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,0,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5081883041,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,11,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5085383621,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,5,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5100395440,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,0,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5100395450,Bin Liu,Bin Liu,1,0,3,0,0,0,0,0,CN,1,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5100395476,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,1,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5100395487,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,11,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5100395552,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,1,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5100395563,Bin Liu,Bin Liu,1,0,2,0,0,0,0,0,CN,4,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5100395573,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,7,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5100395574,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,3,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5100395576,Bin Liu,Bin Liu,1,0,1,0,0,0,0,0,CN,6,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
Profile pair,Bin Liu,A5000570841,A5100395591,Bin Liu,Bin Liu,1,0,3,0,0,0,0,0,CN,4,Different,Keep separate,High,The OpenAlex profiles have different ORCID identifiers.
