rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,match_confidence_explanation,identity_decision,identity_decision_explanation,review_evidence,merged_openalex_ids,raw_openalex_profile_count,works_count_method,exact_match_papers,initial_match_papers
11,A5074419878,Jun Iwamoto,Jun Iwamoto,82,335,24.48,2015,2024,12.0,https://orcid.org/0000-0002-3700-5337,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 2 OpenAlex profiles,We combined 2 OpenAlex profiles under A5074419878 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,Same RWD name with 6 shared coauthors and 3 shared affiliation signals.,A5074419878; A5109948506,2,OpenAlex union,82,0
12,A5030715283,M. Ghoranneviss,M Ghoranneviss,80,664,12.05,2017,2025,9.0,https://orcid.org/0000-0003-1096-0614,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 2 OpenAlex profiles,We combined 2 OpenAlex profiles under A5030715283 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,Same RWD name with 11 shared coauthors and 5 shared affiliation signals.,A5030715283; A5086048534,2,OpenAlex union,80,0
13,A5052082627,Cornelius Busch,Cornelius J Busch,60,248,24.19,2014,2014,0.0,https://orcid.org/0000-0002-6747-8805,High,High confidence: all 60 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5052082627,1,Profile count,60,0
14,A5109092413,Michael Fresenius,Michael Fresenius,60,593,10.12,2014,2014,0.0,,High,High confidence: all 60 papers match the full RWD name exactly.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5109092413,1,Profile count,60,0
15,A5015873217,Michael Heck,Michael Heck,60,687,8.73,2014,2014,0.0,https://orcid.org/0000-0001-9841-5025,High,High confidence: all 60 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5015873217,1,Profile count,60,0
16,A5074730004,Didier Raoult,Didier Raoult,59,4028,1.46,2020,2026,8.0,https://orcid.org/0000-0002-0633-5974,High,High confidence: all 59 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5074730004,1,Profile count,59,0
17,A5029717979,Diederik A. Stapel,Diederik A Stapel,56,238,23.53,2011,2015,4.0,,High,High confidence: all 56 papers match the full RWD name exactly.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5029717979,1,Profile count,56,0
18,A5109542843,Yuhji Saitoh,Yuhji Saitoh,53,159,33.33,2012,2022,14.0,,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 2 OpenAlex profiles,We combined 2 OpenAlex profiles under A5109542843 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,Same RWD name with 10 shared coauthors and 11 shared affiliation signals.,A5109542843; A5109569139,2,OpenAlex union,30,23
19,A5075868044,A. Maxim,Adrian Maxim,48,101,47.52,2004,2017,0.0,,High,High confidence: 42 papers use a shortened name and 6 papers use the full name on the same OpenAlex profile. The evidence below links the two forms.,Confirmed abbreviation,We kept the shortened-name papers in this identity. No additional OpenAlex profile had to be merged.,The same OpenAlex profile contains 6 papers that match the full RWD name exactly.,A5075868044,1,Profile count,6,42
20,A5110875673,Shadi Riahi,Shadi Riahi,48,108,44.44,2019,2022,8.0,,High,High confidence: all 48 papers match the full RWD name exactly.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5110875673,1,Profile count,48,0
21,A5113643499,Swen N. Piper,Swen N Piper,47,129,36.43,2010,2026,9.0,,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 3 OpenAlex profiles,We combined 3 OpenAlex profiles under A5113643499 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,Same RWD name with 13 shared coauthors and 2 shared affiliation signals.; Same RWD name with 2 shared coauthors and 1 shared affiliation signals.; Same RWD name with 7 shared coauthors and 1 shared affiliation signals.,A5113507673; A5113639147; A5113643499,3,OpenAlex union,20,27
22,A5074804419,Guilherme Malafaia,Guilherme Malafaia,46,559,8.23,2024,2026,2.0,https://orcid.org/0000-0003-4773-7598,High,High confidence: all 46 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5074804419,1,Profile count,46,0
23,A5111562782,Stefan Suttner,Stefan W Suttner,44,129,34.11,2010,2026,8.5,,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 2 OpenAlex profiles,We combined 2 OpenAlex profiles under A5111562782 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,Same RWD name with 13 shared coauthors and 2 shared affiliation signals.,A5111562782; A5111934554,2,OpenAlex union,14,30
24,A5070620598,Tsuyoshi Takeda,Tsuyoshi Takeda,42,407,10.32,2017,2024,13.0,https://orcid.org/0000-0002-0786-8166,High,High confidence: all 42 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5070620598,1,Profile count,42,0
25,A5109278193,Fazlul H. Sarkar,Fazlul H Sarkar,41,694,5.91,2016,2018,9.0,,High,High confidence: all 41 papers match the full RWD name exactly.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5109278193,1,Profile count,41,0
26,A5028114748,Ashok Pandey,Ashok Pandey,39,1283,3.04,2012,2024,7.0,https://orcid.org/0000-0003-1626-3529,High,High confidence: all 39 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5028114748,1,Profile count,39,0
27,A5043483439,Chandra Gopala Rao,Chandra Gopala Rao,38,41,92.68,2015,2015,0.0,,High,High confidence: all 38 papers match the full RWD name exactly.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5043483439,1,Profile count,38,0
28,A5103756554,Jasti S. Rao,Jasti S Rao,37,388,9.54,2018,2025,15.0,,High,High confidence: all 37 papers match the full RWD name exactly.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5103756554,1,Profile count,37,0
29,A5101714747,H. Zhong,Hua Zhong,34,86,39.53,2009,2011,2.0,https://orcid.org/0000-0003-2221-6454,High,High confidence: 33 papers use a shortened name and 1 papers use the full name on the same OpenAlex profile. The evidence below links the two forms.,Confirmed abbreviation,We kept the shortened-name papers in this identity. No additional OpenAlex profile had to be merged.,Full-name and abbreviated papers share 0 coauthors and 1 institution or affiliation matches.,A5101714747,1,Profile count,1,33
30,A5063749738,Jun Lü,Jun Lu,34,212,16.04,2021,2023,4.0,https://orcid.org/0000-0002-2801-5330,High,High confidence: all 34 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5063749738,1,Profile count,34,0
31,A5029326219,T. Liu,Tao Liu,27,28,96.43,2009,2010,2.0,,Review,"Needs review: all 27 papers use an abbreviated OpenAlex name. There is no ORCID and no paper that spells out ‘Tao Liu’, so the full name cannot be confirmed.",Merged 7 profile fragments; full name unresolved,"We combined 7 OpenAlex fragments because their papers have the same RWD name, year, institution, affiliation and coauthors. We did not connect them to a profile that spells out the full name.","The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor. Remaining limitation: No exact full-name paper or strong link to one was found.",A5015240075; A5024606648; A5029326219; A5033131662; A5049434233; A5067873822; A5084707917,7,OpenAlex union,0,27
32,A5053945516,Dimitris Liakopoulos,Dimitris Liakopoulos,14,110,12.73,2020,2022,1.5,,High,High confidence: all 14 papers match the full RWD name exactly.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5053945516,1,Profile count,14,0
33,A5100409879,Jian Zhang,Jian Zhang,14,2121,0.66,2014,2024,3.0,https://orcid.org/0000-0001-7217-0111,High,High confidence: all 14 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100409879,1,Profile count,14,0
34,A5100355773,Yang Liu,Yang Liu,13,2889,0.45,2016,2025,2.0,https://orcid.org/0000-0002-0367-8189,High,High confidence: all 13 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100355773,1,Profile count,13,0
35,A5100414285,Ying Liu,Ying Liu,13,2458,0.53,2021,2026,2.0,https://orcid.org/0000-0002-6540-0473,High,High confidence: all 13 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100414285,1,Profile count,13,0
36,A5100326831,Dan Liu,Dan Liu,12,1832,0.66,2010,2023,1.0,https://orcid.org/0000-0002-2198-3910,High,High confidence: all 12 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100326831,1,Profile count,12,0
37,A5100425671,Li Zhang,Li Zhang,12,2553,0.47,2015,2025,5.0,https://orcid.org/0000-0002-9386-8938,High,High confidence: all 12 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100425671,1,Profile count,12,0
38,A5100370519,Jian Wang,Jian Wang,11,1810,0.61,2017,2024,3.0,https://orcid.org/0000-0002-9482-5227,High,High confidence: all 11 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100370519,1,Profile count,11,0
39,A5100322938,Yan Wang,Yan Wang,11,1227,0.9,2017,2026,6.0,https://orcid.org/0000-0003-2563-255x,High,High confidence: all 11 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100322938,1,Profile count,11,0
40,A5100353673,Hao Chen,Hao Chen,10,5498,0.18,2021,2025,2.5,https://orcid.org/0009-0001-6480-7976,High,High confidence: all 10 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100353673,1,Profile count,10,0
41,A5110516399,Xin Zhang,Xin Zhang,10,1648,0.61,2020,2024,2.5,https://orcid.org/0000-0001-6036-2685,High,High confidence: all 10 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5110516399,1,Profile count,10,0
42,A5100388089,Yi Zhang,Yi Zhang,10,2213,0.45,2020,2024,3.0,https://orcid.org/0000-0001-9861-4681,High,High confidence: all 10 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100388089,1,Profile count,10,0
43,A5100414460,Ying Li,Ying Li,10,441,2.27,2020,2024,16.5,https://orcid.org/0000-0003-3683-9695,High,High confidence: all 10 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100414460,1,Profile count,10,0
44,A5101877339,Jian Xu,Jian Xu,9,80,11.25,2019,2026,12.0,https://orcid.org/0000-0002-9557-2671,High,High confidence: all 9 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101877339,1,Profile count,9,0
45,A5100335860,Li Wang,Li Wang,9,1152,0.78,2020,2026,4.0,https://orcid.org/0000-0001-7692-5067,High,High confidence: all 9 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100335860,1,Profile count,9,0
46,A5100425554,Li Zhang,Li Zhang,9,4045,0.22,2017,2024,3.0,https://orcid.org/0000-0002-3617-2627,High,High confidence: all 9 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100425554,1,Profile count,9,0
47,A5100430306,Hong Zhang,Hong Zhang,8,1527,0.52,2010,2025,4.0,https://orcid.org/0000-0002-6191-0046,High,High confidence: all 8 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100430306,1,Profile count,8,0
48,A5107889976,Li Wang,Li Wang,8,3217,0.25,2010,2023,1.0,https://orcid.org/0000-0003-3722-5986,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 3 OpenAlex profiles,We combined 3 OpenAlex profiles under A5107889976 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,The OpenAlex profiles share the same ORCID.,A5107889976; A5116736541; A5118941484,3,OpenAlex union,8,0
49,A5100456534,Liang Wang,Liang Wang,8,1273,0.63,2016,2025,3.0,https://orcid.org/0000-0002-5247-6727,High,High confidence: all 8 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456534,1,Profile count,8,0
50,A5100456567,Liang Wang,Liang Wang,8,378,2.12,2019,2023,3.0,https://orcid.org/0000-0002-9364-8572,High,High confidence: all 8 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100456567,1,Profile count,8,0
51,A5100398732,Ling Wang,Ling Wang,8,754,1.06,2010,2025,4.0,https://orcid.org/0000-0003-4905-9903,High,High confidence: all 8 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100398732,1,Profile count,8,0
52,A5100340910,Min Wang,Min Wang,8,1146,0.7,2012,2023,1.5,https://orcid.org/0000-0002-3420-4031,High,High confidence: all 8 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100340910,1,Profile count,8,0
53,A5100341105,Nan Li,Nan Li,8,106,7.55,2015,2021,13.0,https://orcid.org/0000-0003-1179-0063,High,High confidence: all 8 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100341105,1,Profile count,8,0
54,A5100405781,Ping Zhang,Ping Zhang,8,4482,0.18,2010,2023,1.0,https://orcid.org/0000-0001-9163-6191,High,High confidence: all 8 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100405781,1,Profile count,8,0
55,A5100318325,Wěi Li,Wei Li,8,2222,0.36,1996,2024,2.0,https://orcid.org/0000-0002-9522-4474,High,High confidence: all 8 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100318325,1,Profile count,8,0
56,A5100351056,Yan Liu,Yan Liu,8,575,1.39,2012,2023,2.5,https://orcid.org/0000-0002-2067-4569,High,High confidence: all 8 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100351056,1,Profile count,8,0
57,A5100380747,Dan Li,Dan Li,7,637,1.1,2011,2024,2.0,https://orcid.org/0000-0002-5586-4055,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100380747,1,Profile count,7,0
58,A5108600470,Hua Zhong,Hua Zhong,7,131,5.34,2009,2009,2.0,https://orcid.org/0009-0005-7000-3834,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5108600470,1,Profile count,7,0
59,A5100402534,Jian Li,Jian Li,7,1373,0.51,2009,2024,2.0,https://orcid.org/0000-0002-7521-8798,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100402534,1,Profile count,7,0
60,A5113414416,Jin Wang,Jin Wang,7,1652,0.42,2010,2026,1.0,https://orcid.org/0000-0002-8298-4378,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5113414416,1,Profile count,7,0
61,A5111964102,Jun Wang,Jun Wang,7,3202,0.22,2017,2025,3.0,https://orcid.org/0009-0008-8475-2934,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5111964102,1,Profile count,7,0
62,A5100434028,Lei Zhang,Lei Zhang,7,2382,0.29,2011,2024,1.0,https://orcid.org/0000-0003-2343-084x,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100434028,1,Profile count,7,0
63,A5100422067,Rui Zhang,Rui Zhang,7,421,1.66,2020,2024,4.0,https://orcid.org/0000-0002-6147-1573,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100422067,1,Profile count,7,0
64,A5100338060,Tao Liu,Tao Liu,7,14873,0.05,2010,2024,4.0,https://orcid.org/0000-0001-9529-6550,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 5 OpenAlex profiles,We combined 5 OpenAlex profiles under A5100338060 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,The OpenAlex profiles share the same ORCID.,A5064220200; A5100338060; A5100338061; A5100338073; A5100338122,5,OpenAlex union,7,0
65,A5100338067,Tao Liu,Tao Liu,7,1015,0.69,2011,2024,2.0,https://orcid.org/0000-0001-6244-7316,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100338067,1,Profile count,7,0
66,A5100453396,Tao Wang,Tao Wang,7,496,1.41,2016,2023,3.0,https://orcid.org/0000-0001-6402-5571,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100453396,1,Profile count,7,0
67,A5100391890,Wei Wang,Wei Wang,7,828,0.85,2016,2024,3.0,https://orcid.org/0000-0002-1614-0759,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100391890,1,Profile count,7,0
68,A5100391941,Wei Wang,Wei Wang,7,581,1.2,2014,2024,3.0,https://orcid.org/0000-0002-3422-0402,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100391941,1,Profile count,7,0
69,A5100353891,Xin Li,Xin Li,7,260,2.69,2022,2024,2.0,https://orcid.org/0000-0002-5175-5409,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100353891,1,Profile count,7,0
70,A5100354018,Xin Li,Xin Li,7,646,1.08,2023,2025,3.0,https://orcid.org/0000-0003-0958-1078,High,High confidence: all 7 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100354018,1,Profile count,7,0
71,A5100767367,Bin Liu,Bin Liu,6,435,1.38,2015,2026,5.5,https://orcid.org/0000-0002-9113-9694,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100767367,1,Profile count,6,0
72,A5016204133,D. Liakopoulos,Dimitris Liakopoulos,6,7,85.71,2021,2021,12.0,,Review,"Needs review: all 6 papers use an abbreviated OpenAlex name. There is no ORCID and no paper that spells out ‘Dimitris Liakopoulos’, so the full name cannot be confirmed.",Unresolved abbreviation,We kept this OpenAlex profile separate because we could not identify one full-name profile with enough certainty.,No exact full-name paper or strong link to one was found.,A5016204133,1,Profile count,0,6
73,A5100411794,Dan Wang,Dan Wang,6,1125,0.53,2010,2026,1.0,https://orcid.org/0000-0002-0921-2726,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100411794,1,Profile count,6,0
