rank,doi,openalex_id,title,authors,journal,publisher,publication_year,retraction_year,post_retraction_citations
175,10.1111/jcpp.12652,W2555743000,Randomized controlled trial of vitamin D supplementation in children with autism spectrum disorder,Khaled Saad;Ahmed A Abdel-Rahman;Yasser M Elserogy;Abdulrahman A Al Atram;Amira A El Houfey;Hisham A K Othman;Geir Bjorklund;Feiyong Jia;Mauricio A Urbina;Mohamed Gamil M Abo-Elela;Faisal Alkhateeb Ahmad;Khaled A Abd El-Baseer;Ahmed E Ahmed;Ahmad M Adbel-Salam,The Journal of Child Psychology and Psychiatry,Wiley,2016,2019,39
176,10.1126/science.aaz9139,W3042166396,Proton transport enabled by a field-induced metallic state in a semiconductor heterostructure,Y Wu;Bin Zhu;M Huang;L Liu;Q Shi;M Akbar;C Chen;J Wei;J F Li;L R Zheng;J S Kim;Huai Bing Song,Science,American Association for the Advancement of Science (AAAS),2020,2020,39
177,10.1186/1743-7075-5-27,W2087826156,Role of cytochrome P450 in drug interactions,Zakia Bibi,Nutrition and Metabolism,BioMed Central (BMC),2008,2014,39
178,10.1523/jneurosci.3878-11.2011,W2093850848,Epigenetic Enhancement of BDNF Signaling Rescues Synaptic Plasticity in Aging,Yan Zeng;Miao Tan;Jun Kohyama;Marissa Sneddon;Joseph B Watson;Yi E Sun;Cui-Wei Xie,The Journal of Neuroscience : The Official Journal of the Society for Neuroscience,Society for Neuroscience,2011,2013,39
179,10.1563/aaid-joi-d-17-00118,W2557953995,Current evidence on the socket-shield technique: a systematic review,Amit S Gharpure;Neel B Bhatavadekar,Journal of Oral Implantology,Allen Press,2017,2017,39
180,10.5312/wjo.v2.i5.37,W1967407439,Effectiveness of exercise for osteoarthritis of the knee: A review of the literature,Jun Iwamoto;Yoshihiro Sato;Tsuyoshi Takeda;Hideo Matsumoto,World Journal of Orthopedics,Baishideng Publishing Group,2010,2018,39
181,10.1002/14651858.cd003630.pub2,W1922909438,Endoscopic retrograde cholangiopancreatography in gallstone‐associated acute pancreatitis (Pub 2),Khurram Ayub;John Slavin;Regina Imada,Cochrane Database of Systematic Reviews,Wiley,2004,2010,38
182,10.1007/s00521-013-1481-0,W2588487146,Human–computer Interaction Using Vision-based Hand Gesture Recognition Systems: A Survey,Haitham Hasan Badi;Sameem Abdul-Kareem,Neural Computing and Applications,Springer,2013,2017,38
183,10.1016/j.intimp.2019.03.005,W2926182388,MicroRNA-107 regulates autophagy and apoptosis of osteoarthritis chondrocytes by targeting TRAF3,Xiaonan Zhao;Hongyan Li;Linlin Wang,International Immunopharmacology,Elsevier,2019,2019,38
184,10.1038/ni.2607,W1995222786,Natural and inducible TH17 cells are regulated differently by Akt and mTOR pathways,Jiyeon S Kim;Tammarah Sklarz;Lauren B Banks;Mercy Gohil;Adam T Waickman;Nicolas Skuli;Bryan L Krock;Chong T Luo;Weihong Hu;Kristin N Pollizzi;Ming O Li;Jeffrey C Rathmell;Morris J Birnbaum;Jonathan D Powell;Martha S Jordan;Gary A Koretzky,Nature Immunology,Springer - Nature Publishing Group,2013,2014,38
185,10.1046/j.1528-1157.2003.05203.x,W1831524103,Misappropriation: Brain Tumor and Seizures: Pathophysiology and Its Implications for Treatment Revisited,Bernhard Schaller;Stephan J Rüegg,Epilepsia,Wiley,2003,2003,38
186,10.1074/jbc.m112.374611,W2056360747,MicroRNA miR-214 Regulates Ovarian Cancer Cell Stemness by Targeting p53/Nanog,Cheng-Xiong Xu;Meng Xu;Lei Tan;Hua Yang;Jennifer Permuth-Wey;Patricia A Kruk;Robert M Wenham;Santo V Nicosia;Johnathan M Lancaster;Thomas A Sellers;Jin Q Cheng,The Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology (ASBMB),2012,2016,38
187,10.1111/j.1467-9280.2008.02172.x,W2152619535,Gaining control: training executive function and far transfer of the ability to resolve interference,Jonas Persson;Patricia A Reuter-Lorenz,Psychological Science,SAGE Publications,2008,2011,38
188,10.1172/jci113889,W2057611314,"Differential regulation of protein kinase C and (Na,K)-adenosine triphosphatase activities by elevated glucose levels in retinal capillary endothelial cells",Tian-Shing Lee;Leslie C MacGregor;Steve J Fluharty;George L King,The Journal of Clinical Investigation (JCI),American Society for Clinical Investigation,1989,1992,38
189,10.1182/blood-2006-09-047043,W2041435092,Epigenetic regulation of Wnt-signaling pathway in acute lymphoblastic leukemia,Jose Roman-Gomez;Lucia Cordeu;Xabier Agirre;Antonio Jimenez-Velasco;Edurne San Jose-Eneriz;Leire Garate;María Jose Calasanz;Anabel Heiniger;Antonio Torres;Felipe Prosper,Blood,American Society of Hematology,2007,2012,38
190,10.1186/s13045-017-0493-0,W4206369346,MicroRNA-330-3p promotes cell invasion and metastasis in non-small cell lung cancer through GRIA3 by activating MAPK/ERK signaling pathway,Chun Hua Wei;Gang Wu;Qian Cai;Xi Can Gao;Fan Tong;Rui Zhou;Rui Guang Zhang;Ji-Hua Dong;Yu Hu;Xiao Rong Dong,Journal of Hematology & Oncology,Springer - Biomed Central (BMC),2017,2020,38
191,10.29333/ejmste/86214,W4246371380,Study of the Effect of Environmental Education on Environmental Awareness and Environmental Attitude Based on Environmental Protection Law of the People’s Republic of China,Yang Li,"EURASIA Journal of Mathematics, Science and Technology Education (EJMSTE)",Modestum,2018,2019,38
192,10.1002/14651858.cd004631.pub3,W4242837855,Surgery for thumb (trapeziometacarpal joint) osteoarthritis (Pub 3),Anne Wajon;Emma Carr;Ian Edmunds;Louise Ada,Cochrane Database of Systematic Reviews,Wiley,2009,2017,37
193,10.1016/j.jcis.2007.06.064,W2004535641,Surface modification for stability of nano-sized silica colloids,Khoa N Pham;Damian Fullston;Kwesi Sagoe-Crentsil,Journal of Colloid and Interface Science,Elsevier,2007,2009,37
194,10.1063/1.3005858,W2078839155,"Direct numerical simulation of the Ekman layer: A step in Reynolds number, and cautious support for a log law with a shifted origin",Phillipe R Spalart;Gary N Coleman;Roderick Johnstone,Physics of Fluids,American Institute of Physics (AIP Publishing),2008,2009,37
195,10.1074/jbc.m110.211466,W2049175236,Exercise increases mitochondrial PGC-1 alpha content and promotes nuclear-mitochondrial cross-talk to coordinate mitochondrial biogenesis,Adeel Safdar;Jonathan P Little;Andrew J Stokl;Bart P Hettinga;Mahmood Akhtar;Mark A Tarnopolsky,The Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology (ASBMB),2011,2020,37
196,10.1093/mnras/stw2434,W2474336635,IMF shape constraints from stellar populations and dynamics from CALIFA,M Lyubenova;I Martin-Navarro;G van de Ven;J Falcon-Barroso;L Galbany;A Gallazzi;R Garcia-Benito;R Gonzalez Delgado;B Husemann;F la Barbera;R A Marino;D Mast;J Mendez-Abreu;R F P Peletier;P Sanchez-Blazquez;S F Sanchez;S C Trager;R C E van den Bosch;A Vazdekis;C J Walcher;L Zhu;S Zibetti;B Ziegler;J Bland-Hawthorn; CALIFA Collaboration,Monthly Notices of the Royal Astronomical Society: Letters,Oxford University Press,2016,2019,37
197,10.1097/aog.0000000000001628,W2507807338,"Health Care Disparity and State-Specific Pregnancy-Related Mortality in the United States, 2005– 2014",Amirhossein Moaddab;Gary A Dildy;Haywood L Brown;Zhoobin H Bateni;Michael A Belfort;Haleh Sangi-Haghpeykar;Steven L Clark,Obstetrics and Gynecology,Wolters Kluwer - Lippincott Williams & Wilkins,2016,2018,37
198,10.1104/pp.110.157180,W1990699120,G-Box Binding Factor1 Reduces CATALASE2 Expression and Regulates the Onset of Leaf Senescence in Arabidopsis,Anja Smykowski;Petra Zimmermann;Ulrike Zentgraf,Plant Physiology,American Society of Plant Biologists,2010,2017,37
199,10.1155/2015/418060,W2141526469,Medical Dataset Classification: A Machine Learning Paradigm Integrating Particle Swarm Optimization with Extreme Learning Machine Classifier,C V Subbulakshmi;S N Deepa,The Scientific World Journal,Hindawi,2015,2016,37
200,10.1002/14651858.cd003827.pub2,W2045204503,Gauze and tape and transparent polyurethane dressings for central venous catheters (Pub 2),Joan Webster;Donna Gillies;Elizabeth O'Riordan;Karen L Sherriff;Claire M Rickard,Cochrane Database of Systematic Reviews,Wiley,2011,2016,36
